          FW          	CUT	SVN	Coex
rtl8822c_fw           	 D	662198272	2020
rtl8822bs_fw          	 C	1409033410	8080
rtl8733b_8723f_fw     	 C	4050559620	0707
rtl8761au8812ae_fw    	 D	19653	0006
rtl8852bps_fw         	 B	2888642280	0707
rtl8723cs_cg_fw       	 B	15854	5844
rtl8822cs_fw          	 D	662198272	2020
rtl8723cs_xx_fw       	 B	22073	1c00
rtl8723ds_fw          	 C	316555887	3b3b
rtl8761cs_fw          	 B	21127	0606
rtl8761at_fw          	 D	20411	0007
rtl8821a_fw           	 B	19132	635d
rtl8723bs_fw          	 B	19897	6d50
rtl8725as_fw          	 B	23166	0202
rtl8852cu_fw          	 B	1530463254	0707
rtl8821cs_fw          	 B	3738024003	5b5b
rtl8725a_fw           	 B	2772559869	0202
rtl8761au_fw          	 D	20411	0007
rtl8703as_fw          	 B	12234	473d
rtl8761b_fw           	 B	2772559869	0202
rtl8761at8812ae_fw    	 D	19653	0006
rtl8723d_fw           	 C	316555887	3b3b
rtl8761bt_fw          	 B	2772559869	0202
rtl8761aw8192eu_fw    	 D	20411	0007
rtl8733bs_8723fs_fw   	 C	4050559620	0707
rtl8852bs_fw          	 B	3612933128	0707
rtl8852bu_fw          	 B	3612933128	0707
rtl8723c_fw           	 B	22073	1c00
rtl8852au_fw          	 B	4147630002	0707
rtl8761au8192ee_fw    	 D	20411	0007
rtl8822b_fw           	 C	1409033410	8080
rtl8821as_fw          	 B	19132	635d
rtl8852cs_fw          	 B	1530463254	0707
rtl8703cs_fw          	 C	17903	0a0a
rtl8723bs_VQ0_fw      	 B	16527	6549
rtl8761a_fw           	 D	20411	0007
rtl8723cs_vf_fw       	 B	15854	5844
rtl8703bs_fw          	 B	22073	1c00
rtl8723b_fw           	 B	19897	6d50
rtl8821c_fw           	 B	3738024003	5b5b
rtl8703b_fw           	 B	22073	1c00
rtl8852as_fw          	 B	4147630002	0707
rtl8761at8192ee_fw    	 D	20411	0007
